CODEINSEE0;CODEINTERNE1;Observation2;Année3;"MontantTitre"4;"MontantconventionAnnéeN"5;"MontantAnnexe2"6;type7;"dated'envoicollectivitépoursignature"8;dateretour9;datesignaturedelaconvention10;"dated'envoicollectivitésigné"11;"RévisionEnvoi"12;RévisionRetour13;EnvoiRPQS14;RetourRPQS15;"MandatRPQS"16;nødetitre17;"dateémissiontitre"18;"EnvoiAnnexe2marché"19;"RetourAnnexe2signee"20;"MandatSPAC"21;DateArrˆtéDUP22
55117;A26;;2015;1174.56;900;274.56;19;25/11/14;27/01/15;09/02/15;10/02/15;;;04/03/16;07/06/16;1;1609;29/04/15;21/01/15;27/01/15;1;;;
55117;A26;;2016;1180.75;900;280.75;19;;;;;16/11/15;11/01/16;24/02/17;;1;714;11/03/16;16/11/16;11/01/16;1;;;
55117;A26;;2017;0;900;286.09;19;;;;;25/10/16;09/11/16;;;1;;;30/01/17;10/02/17;1;;;
55117;A27;;2014;820.15;820.15;0;21;16/10/14;14/01/15;22/01/15;26/01/15;;;;;0;5450;01/12/15;;;0;;;
200034874;A28;ContrôleANC;2014;1201.6;1201.6;0;21;01/08/14;13/08/14;01/09/14;02/09/14;;;;;0;3781;18/09/14;;;0;;;
200034874;A29;MOE-ANC;2015;0;1410;0;21;22/06/15;25/06/15;02/07/15;07/07/15;;;;;0;4862;02/12/16;;;0;;;
200034874;A30;Groupement;2016;0;1410.3;0;21;26/02/16;07/03/16;11/03/16;15/03/16;;;;;0;4861;02/12/16;;;0;;;
245501309;A31;;2009;727.25;727.25;0;21;06/05/09;27/05/09;22/06/09;24/06/09;;;;;0;2730;14/08/09;;;0;;;
245501309;A32;;2009;250;250;0;20;;18/09/09;29/09/09;02/10/09;;;;;0;4258;25/11/09;;;0;;;
245501309;A32;;2010;250;250;0;20;;;;;;;;;0;1703;20/05/10;;;0;;;
245501309;A32;;2011;250;250;0;20;;;;;;;;;0;2567;11/07/11;;;0;;;
245501309;A33;;2012;250;250;0;20;14/12/11;26/12/11;29/12/11;29/12/11;;;;;0;2244;13/06/12;;;0;;;
245501309;A33;;2013;275;275;0;20;;;;;09/01/13;;;;0;1858;22/04/13;;;0;;;
245501309;A33;;2014;275;275;0;20;;;;;18/12/13;09/01/14;;;0;1058;28/03/14;;;0;;;
245501309;A34;2eprog.ANC;2011;737.75;737.75;0;21;20/09/11;28/09/11;17/11/11;24/11/11;;;;;0;142;24/01/12;;;0;;;
245501309;A35;Marchédevidange;2011;737.75;737.75;0;21;08/09/11;11/01/12;18/01/12;18/01/12;;;;;0;251;30/01/12;;;0;;;
245501309;A36;Marchédevidange;2013;939.5;939.5;0;21;24/09/13;11/10/13;16/10/13;17/10/13;;;;;0;8300;24/12/13;;;0;;;
245501309;A37;MoeFresnesauMont;2011;737.5;737.5;0;21;23/08/11;05/09/11;13/09/11;23/09/11;;;;;0;3763;04/10/11;;;0;;;
245501309;A38;3eprogANC-Belrain;2014;942.3;942.3;0;21;20/02/14;03/03/14;06/03/14;12/03/14;;;;;0;3780;18/09/14;;;0;;;
245501309;A39;;2015;275;275;0;20;14/11/14;28/11/14;05/12/14;11/12/14;;;;;0;3334;28/07/15;;;0;;;
245501309;A40;Fusion…/cdu1/1/17;2016;614.55;614.55;0;20;21/01/16;02/02/16;09/02/16;09/02/16;;;;;0;1365;14/04/16;;;0;;;
200066140;A41;;2017;0;616.2;0;20;24/02/17;03/03/17;07/03/17;08/03/17;;;;;0;;;;;0;;;
200066140;A41;;2018;0;0;0;20;;;;;;;;;0;;;;;0;;;
200066140;A41;;2019;0;0;0;20;;;;;;;;;0;;;;;0;;;
245501309;A42;Géry;2014;275;275;0;17;20/02/14;03/03/14;06/03/14;12/03/14;;;;;0;963;27/03/14;;;0;;;
245501309;A43;Géry;2015;412.28;275;137.28;17;28/11/14;04/12/14;10/12/14;12/12/14;;;;;1;3335;28/07/15;10/12/14;26/12/14;1;;;
245501309;A43;Géryfusionau1/1/17;2016;275;275;0;17;;;;;16/11/15;30/11/15;04/03/16;19/05/16;1;1494;21/04/16;;;1;;;
200066140;A44;;2017;0;275;143.05;18;24/02/17;03/03/17;07/03/17;08/03/17;;;;;0;;;24/02/17;03/03/17;1;;;
200066140;A44;;2018;0;0;0;18;;;;;;;;;0;;;;;0;;;
200066140;A44;;2019;0;0;0;18;;;;;;;;;0;;;;;0;;;
200066108;A45;;2017;0;0;387;20;23/03/17;10/04/17;13/04/17;24/04/17;;;;;0;;;;;0;;;
200066108;A45;;2018;0;0;0;20;;;;;;;;;0;;;;;0;;;
200066108;A45;;2019;0;0;0;20;;;;;;;;;0;;;;;0;;;
245501374;A46;ANC;2011;882.2;882.2;0;21;08/04/11;19/04/11;05/05/11;12/05/11;;;;;0;2704;12/07/11;;;0;;;
245501259;A47;;2009;1274;1274;0;21;24/06/09;02/07/09;29/07/09;04/08/09;;;;;0;3125;24/09/09;;;0;;;
245501259;A48;;2009;1762.5;1762.5;0;17;24/06/09;02/07/09;29/07/09;04/08/09;;;;;0;4259;25/11/09;15/02/10;;0;;;
245501259;A48;;2010;2408.95;1762.5;646.45;17;;;;;;;;;0;2662;16/07/10;;31/05/10;0;;;
245501259;A48;;2011;2089.92;1762.5;327.42;17;;;;;;;;;0;3401;08/09/11;28/12/10;31/08/11;0;;;
245501259;A49;;2012;3307.88;1762.5;1545.38;17;16/11/11;12/12/11;23/12/11;23/12/11;;;;;0;;;22/02/12;07/03/12;0;;;
245501259;A49;;2013;0;1880;0;17;;;;;14/01/13;;11/01/13;;0;1859;22/04/13;22/01/13;19/03/13;0;;;
245501259;A49;NesouhaiteplusAT;2014;1880;1880;0;17;;;;;03/12/13;09/12/13;22/01/14;31/03/14;0;979;27/03/14;;;0;;;
245501259;A50;;2010;1317.4;1317.4;0;21;12/01/10;15/01/10;08/02/10;08/02/10;;;;;0;2702;12/07/11;;;0;;;
245501259;A51;DSP;2010;1317.4;1317.4;0;21;28/09/10;01/10/10;11/10/10;14/10/10;;;;;0;3936;22/10/10;;;0;;;
245501259;A52;MOEréseauMontmédy;2012;1263.4;1263.4;0;21;27/01/12;07/03/12;12/03/12;14/03/12;;;;;0;2633;06/07/12;;;0;;;
245501259;A53;StepJuvigny/Loison;2014;1540.2;1540.2;0;21;08/10/14;08/01/15;21/01/15;29/01/15;;;;;0;425;17/02/15;;;0;;;
245501259;A54;5STEU;2016;2747.95;993.3;1754.65;18;13/06/16;07/07/16;18/07/16;20/07/16;;;24/02/17;28/04/17;0;3085;28/07/16;13/06/16;16/07/16;1;;;
245501259;A54;5STEU;2017;0;993.3;0;18;;;;;25/10/16;07/11/16;;;0;;;;;0;;;
245501259;A54;5STEU;2018;0;0;0;18;;;;;;;;;0;;;;;0;;;
245501242;A55;;2009;1325;1325;0;21;06/05/09;03/06/09;22/06/09;24/06/09;;;;;0;2732;14/08/09;;;0;;;
245501242;A56;;2013;0;1566.8;0;21;15/03/13;03/04/13;09/04/13;10/04/13;;;;;0;;;;;0;;;
245501242;A57;;2014;1092.1;1092.1;0;21;18/09/14;13/11/14;26/11/14;28/11/14;;;;;0;83;27/01/15;;;0;;;
245501242;A58;;2015;1100;1100;0;21;04/05/15;12/05/15;22/05/15;26/05/15;;;;;0;4765;26/11/16;;;0;;;
245501242;A59;;2010;300.1;300.1;0;20;17/03/10;25/03/10;16/04/10;20/04/10;;;;;0;1705;20/05/10;;;0;;;
245501242;A59;;2011;256.8;256.8;0;20;;;;;;;;;0;2572;11/07/11;;;0;;;
245501242;A59;;2012;259.6;259.6;0;20;;;;;11/01/12;;;;0;2251;13/06/12;;;0;;;
245501242;A60;;2013;275;275;0;20;09/01/13;03/04/13;09/04/13;10/04/13;;;;;0;2067;30/04/13;;;0;;;
245501242;A60;;2014;275;275;0;20;;;;;;;;;0;993;27/03/14;;;0;;;
245501242;A60;;2015;317.9;317.9;0;20;;;;;07/11/14;17/11/14;;;0;1963;12/05/15;;;0;;;
245501242;A61;;2016;1211.85;1211.85;0;20;18/01/16;18/04/16;25/04/16;28/04/16;;;;;0;1806;10/05/16;;;0;;;
245501242;A61;;2017;0;1206;0;20;;;;;26/10/16;09/11/16;;;0;;;;;0;;;
245501242;A61;;2018;0;0;0;20;;;;;;;;;0;;;;;0;;;
245500327;A62;ANC;2011;1521.1;1521.1;0;21;28/01/11;19/05/11;14/06/11;14/06/11;;;;;0;2592;11/07/11;;;0;;;
245501457;A63;;2009;427.8;427.8;0;20;24/06/09;17/07/09;29/07/09;04/08/09;;;;;0;4345;01/12/09;;;0;;;
245501457;A63;;2010;432;432;0;20;;;;;;;;;0;1706;20/05/10;;;0;;;
245501457;A63;;2011;414;414;0;20;;;;;;;;;0;2575;11/07/11;;;0;;;
245501457;A64;;2012;250;250;0;20;14/12/11;23/12/11;29/12/11;29/12/11;;;;;0;2253;13/06/12;;;0;;;
245501457;A64;;2013;275;275;0;20;;;;;14/01/13;;;;0;1880;22/04/13;;;0;;;
245501457;A64;;2014;275;275;0;20;;;;;03/12/13;30/12/13;;;0;976;27/03/14;;;0;;;
