CODGEO0;CAPA_EH1;CAPA_DBO52;DEB_REF3;EXPLOI4;DSP5;CONSTR6;NOM_STEU7;SANDRE_STEU8;COORD_XL939;COORD_YL9310;BOUES11;MIL_REJ12;TYPE13;SOUSTYPE14
55296;1000;60;150;40;;1998;LISLE-EN-RIGAULT;35529601000;851126;6848218;0;la Saulx;51;0
55300;250;15;38;40;;1998;LONGEAUX;35530001000;872420;6841483;0;Ruisseau des Grandes Fontaines;54;0
55315;150;0;0;40;;2015;MANDRES-EN-BARROIS;;0;0;0;;52;56
55324;1000;60;150;40;;1995;MARVILLE;25532400902;878852;6932509;0;Riviere l'Othain;54;0
55332;270;16;36;40;;1992;MENAUCOURT;35533201000;872673;6842107;0;l'Ornain;54;0
55335;850;51;102;40;;1985;MENIL/SAULX;35533501000;863506;6838425;0;la Saulx;51;0
55340;2700;162;405;40;;1999;MOGNEVILLE;35534001000;848262;6854513;68;la Saulx;51;0
55348;400;0;0;40;;2012;MONTIERS-SUR-SAULX;;0;0;0;;52;56
55351;3000;150;540;41;LYONNAISE DES EAUX FRANCE;2011;MONTMEDY;25535102144;871428;6937523;68;;51;0
55352;175;0;0;40;;2013;MONTPLONNE;;0;0;0;;52;56
55366;1100;66;220;40;;1989;VAL D'ORNAIN;35536601000;851714;6857924;0;l'Ornain;51;0
55370;250;15;38;40;;1995;NAIX AUX FORGES;35537001000;875313;6840364;0;l'Ornain;55;63
55373;80;0;0;40;;2005;NANT-LE-GRAND;;0;0;0;;55;59
55385;200;12;40;40;;1998;NIXEVILLE;25538501097;866862;6893113;0;fossé;52;57
55386;800;48;330;40;;1982;MADINE EST;25524500102;902529;6872786;0;la Madine;54;0
55397;250;14;70;40;;2011;PAGNY LA BLANCHE COTE;25539702155;901290;6830028;0;;52;56
55398;1000;66;264;40;;2011;PAGNY SUR MEUSE;25539802173;899716;6846782;0;;52;56
55424;60;0;0;40;;2013;REMENNECOURT;;0;0;0;;52;56
55427;10500;630;2180;40;;2004;REVIGNY-SUR-ORNAIN;35542701000;844439;6859624;69;Ornain;51;0
55443;400;24;240;40;;2005;ROUVRES EN WOEVRE;25544301659;896133;6906191;0;Ruisseau du Gobelet d'Argent;51;0
55445;200;0;0;40;;1980;ROUVROIS SUR OTHAIN;;0;0;0;;55;58
55452;80;5;12;40;;2000;SAINT AMAND SUR ORNAIN;35545201000;875945;6839280;0;l'Ornain;55;59
55456;300;14;14;40;;2014;SAINT GERMAIN SUR MEUSE;25545602385;897674;6842071;0;;52;56
55460;150;6;28;40;;2003;SAINT JULIEN SOUS LES COTES;25546001438;892098;6860277;0;Ruisseau du Béquillon;52;57
55462;370;0;0;40;;2013;SAINT MAURICE SOUS LES COTES;;0;0;0;;52;56
55463;9000;588;1350;41;VEOLIA EAU - CIE GEN DES EAUX;1995;SAINT-MIHIEL;25511100096;885776;6870148;69;La Meuse;51;0
55467;600;0;0;40;;2012;SAMPIGNY;;0;0;0;;52;56
55470;250;15;50;40;;1998;SAUDRUPT;35547001000;852144;6846817;0;la Saulx;52;57
55473;100;0;0;40;;1995;SAULX LES CHAMPLONS;25547300817;893958;6889244;0;;52;57
55484;75;0;0;40;;2011;SEPTSARGES;;0;0;0;;52;56
55489;300;0;0;40;;2014;SIVRY LA PERCHE;;0;0;0;;52;56
55494;350;21;52;40;;1986;SOMMELONNE;35549401000;849577;6843040;0;l'Ornel;54;0
55496;1400;72;360;40;;2009;SORCY SAINT MARTIN;25549601975;893898;6849999;0;La Meuse;51;0
55500;230;14;36;40;;1976;SPINCOURT;25550000109;893657;6918267;68;;51;0
55502;7500;450;1300;41;VEOLIA EAU - CIE GEN DES EAUX;1994;STENAY;25550200110;857993;6935030;68;La Meuse;51;0
55508;250;15;135;41;LYONNAISE DES EAUX FRANCE;2012;THONNE-LA-LONG;2550802421;875320;6943075;0;;52;56
55516;1000;60;150;40;;2008;TREVERAY;35551601000;876621;6837861;0;l'Ornain;52;57
55519;15000;900;2700;41;LYONNAISE DES EAUX FRANCE;2010;TRONVILLE-EN-BARROIS;35551901000;867299;6849735;67;ornain;51;0
55520;500;0;0;40;;2014;TROUSSEY;;0;0;0;;52;56
55521;200;11;28;40;;2012;TROYON;25552102262;880379;6880478;0;;52;56
55527;800;66;165;40;;2005;VARENNES-EN-ARGONNE;35552701000;848330;6905553;64;l'Aire;51;0
55533;3000;180;1160;41;SAUR;2011;VAUCOULEURS;25553302175;897153;6839259;68;;51;0
55541;550;33;72;40;;2009;VAVINCOURT;35554101000;861289;6860678;0;;52;57
55545;52500;3150;22600;40;;1994;VERDUN;25504300095;872651;6900070;70;Meuse;51;0
55547;200;11;95;41;LYONNAISE DES EAUX FRANCE;2012;VERNEUIL-PETIT;25554702473;874590;6940654;0;;52;56
55550;225;12;110;40;;2013;VIEVILLE-SOUS-LES-COTES;25555102443;897319;6881554;0;;52;57
55551;800;48;210;40;;2005;VIGNEULLES-LES-HATTONCHATEL;2555101629;898739;6878316;0;ruisseau du Pochy;52;57
55573;1800;108;324;40;;2010;VOID VACON;25557302065;893641;6846336;0;Ruisseau de Jacob le Boucher;51;0
