0UGE;1INS - Type - Code;2INSEE ID commune;3INS - Nom;4BSS;5source/forage;6Commune d'implantation de l'ouvrage;7INSEE Captage;8EtatArrêtéDUP;9PRO - D.U.P. - Date;10UDI - Population - Permanente;11UDI_CODE_NAT;12communes alimentées (environ UDI_NOM);13volume produit;14volume importé;15volume exporté;16linéaire de réseau hors branchement;17linéaire de réseaux renouvelés au cours des 5 dernières années;18taux de TVA applicable à l'ensemble de la facture;19Voies navigables de France (prélèvement);20Agence de l'Eau (protection de la ressource);21Agence de l'Eau ( redevance pollution);22Autres taxes et redevances applicables sur le tarif (hors TVA);23volume de service;24volume consommé sans comptage;25Volumes consommés comptabilisés;26Rendement;27ILP;28ILC;29 Prix de l'eau (? HT et HR/m3) base 120 m3 ; 30Prix de l'eau (? TTC/m3) base 120 m3 ;31Mode d'exploitation;32chloration;33autres traitements;34Nb total de PLV sur l'UDL représentatifs et complets;35Evènements (restrictions);36Evènements (dérogations);37Evènements (autres); 38de C Bactériologie;39Max pH;40Min pH;41Moy pH;42Max Titre alcalimétrique complet;43Min Titre alcalimétrique complet;44Moy Titre alcalimétrique complet;45Max Titre hydrométrique;46Min Titre hydrométrique;47Moy Titre hydrométrique;48Max Turbidité;49Min Turbidité;50Moy Turbidité;51Max Nitrates;52Min Nitrates;53Moy Nitrates;54Moy Pesticides totaux;55Etat;56Décompte DUP;57décompte cap;58Population DUP
PAGNY SUR MEUSE;84;55398;PAGNY SUR MEUSE;;0;;55000;87;;992;55000816;;0;0;0;19.1;0;0;0;0.274;0.363;0;300;1200;18607;0;-2.88;2.88;0.85;1.49;99;100;;10;0;0;;100;7.5;0;7.43;27.8;26.6;27.1;34.4;30.3;32;0.2;0;0.07;9.6;9.5;9.567;0.007;0;;;
PONT SUR MEUSE;84;55407;PONT SUR MEUSE;;0;;55000;87;;143;55000548;;;;;;;;;;;;;;;;;;;;99;0;;9;0;0;;100;7.6;0;7.57;24.7;24.2;24.433;29.5;29.2;29.333;0.2;0;0.07;15.4;15.3;15.367;0.018;0;1;;
POUILLY SUR MEUSE;83;55408;LA VIGNETTE;00886X0029;85;;55000;89;04/07/2012;0;;POUILLY SUR MEUSE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;234
POUILLY SUR MEUSE;84;55408;POUILLY SUR MEUSE;;0;;55000;87;;210;55000819;;;;;;;;;;;;;;;;;;;;99;100;;6;0;0;;83.33333333;7.9;0;7.8;22.5;22;22.25;25.3;24.7;25;0.1;0;0.03;21.3;16.4;18.85;0;0;;;
QUINCY-LANDZECOURT;83;55410;FONTAINE D'ARGENT;01113X0028;85;;55000;89;28/04/2005;0;;QUINCY-LANDZECOURT;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;172
QUINCY-LANDZECOURT;84;55410;QUINCY-LANDZECOURT;;0;;55000;87;;146;55000797;;29099;0;0;7.77;0.1;0;0;0;0.359;0;0;500;17990;64;3.74;6.52;1.5;1.86;99;0;;9;1;0;;100;7.6;0;7.4;26.8;24.2;25.667;30.5;29.1;29.6;0.2;0;0.1;31.2;21.4;25.45;0.122;0;;;
RANZIERES;83;55415;FONTAINE DES VIGNES;01626X0010;85;RANZIERES;55415;88;;0;;RANZIERES;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
RANZIERES;83;55415;FOND DU VIONLUT;01626X0018;85;RANZIERES;55415;88;;0;;RANZIERES;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
RANZIERES;84;55415;RANZIERES;;0;;55000;87;;70;55000802;;;;;;;;;;;;;;;;;;;;99;0;;10;1;0;;80;7.8;0;7.63;19.7;19.2;19.45;21.5;21.3;21.4;0.9;0.1;0.37;14.4;7.9;11.15;0;0;;;
RARECOURT;83;55416;FONTAINE SELOURE;01612X0096;85;;55000;89;24/04/1987;0;;RARECOURT, FROIDOS;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;345
