0UGE;1INS - Type - Code;2INSEE ID commune;3INS - Nom;4BSS;5source/forage;6Commune d'implantation de l'ouvrage;7INSEE Captage;8EtatArrêtéDUP;9PRO - D.U.P. - Date;10UDI - Population - Permanente;11UDI_CODE_NAT;12communes alimentées (environ UDI_NOM);13volume produit;14volume importé;15volume exporté;16linéaire de réseau hors branchement;17linéaire de réseaux renouvelés au cours des 5 dernières années;18taux de TVA applicable à l'ensemble de la facture;19Voies navigables de France (prélèvement);20Agence de l'Eau (protection de la ressource);21Agence de l'Eau ( redevance pollution);22Autres taxes et redevances applicables sur le tarif (hors TVA);23volume de service;24volume consommé sans comptage;25Volumes consommés comptabilisés;26Rendement;27ILP;28ILC;29 Prix de l'eau (? HT et HR/m3) base 120 m3 ; 30Prix de l'eau (? TTC/m3) base 120 m3 ;31Mode d'exploitation;32chloration;33autres traitements;34Nb total de PLV sur l'UDL représentatifs et complets;35Evènements (restrictions);36Evènements (dérogations);37Evènements (autres); 38de C Bactériologie;39Max pH;40Min pH;41Moy pH;42Max Titre alcalimétrique complet;43Min Titre alcalimétrique complet;44Moy Titre alcalimétrique complet;45Max Titre hydrométrique;46Min Titre hydrométrique;47Moy Titre hydrométrique;48Max Turbidité;49Min Turbidité;50Moy Turbidité;51Max Nitrates;52Min Nitrates;53Moy Nitrates;54Moy Pesticides totaux;55Etat;56Décompte DUP;57décompte cap;58Population DUP
SIAEP DU SOIRON (55);84;255401002;SIAEP DU SOIRON (55);;0;;55000;87;;581;55000185;;;;;;;;;;;;;;;;;;;;99;0;;45;0;0;;100;7.9;0;7.612;25.7;23.2;24.02;29.4;28.1;28.84;0.3;0;0.05;32;22.7;27.83;0;0;;;
SIAEP DU TREY-ST JEAN (54);84;255400640;RESEAU SCES SIE TREY (54);;0;;55000;87;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SIAEP DU TREY-ST JEAN (54);84;255400640;RESEAU SOURCE DE VILCEY (54);;0;;55000;87;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SIAEP DU TREY-ST JEAN (55);83;255400640;RIVIERE SOUTERRAINE;X;85;;55000;87;;0;;Beney en W., Lahayville, Rambucourt, Richecourt, Xivray et Marvoisin;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;94;0;1;0
SIAEP DU TREY-ST JEAN (55);83;255400640;SOURCE DE MARTINCOURT;X;85;;55000;89;20/01/1984;0;;Beney en W., Lahayville, Rambucourt, Richecourt, Xivray et Marvoisin;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;94;1;1;0
SIAEP DU TREY-ST JEAN (55);83;255400640;SOURCE DE VILCEY;X;85;;55000;89;26/07/1984;0;;Beney en W., Lahayville, Rambucourt, Richecourt, Xivray et Marvoisin;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;94;1;1;0
SIAEP DU TREY-ST JEAN (55);84;255400640;SIAEP DU TREY-ST JEAN (55);;0;;55000;87;;531;55000183;;629640;0;31506;227;17;5.5;0;0.088;0.363;0;0;0;413749;71;2.23;5.37;1.73;2.3;98;0;;37;0;0;;100;7.9;0;7.734;24.7;22.5;23.78;27.4;26.4;26.8;0.5;0;0.09;23;9.3;15.56;0;0;;;
SIAEP DU VAL DUNOIS;83;55487;BELLE FONTAINE;01353X0078;85;BETHINCOURT;55048;89;01/07/2016;0;;BETHINCOURT;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;36
SIAEP DU VAL DUNOIS;83;255502361;BEZINVILLERS;01116X0145;86;;55000;89;12/04/1994;0;;Aincreville, Bantheville, Cléry e Grand, Cléri le petit, +vente à Doulcon (est. 80 hab);;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;532
SIAEP DU VAL DUNOIS;83;255502361;L'AUNOYE;01116X0098;85;;55000;89;05/12/2006;0;;Mont dvt Sassey, Sassey;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;304
SIAEP DU VAL DUNOIS;83;255502361;FORAGE DE LINY;01116X0012;86;;55000;89;09/12/2008;0;;Liny dvt Dun;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;213
SIAEP DU VAL DUNOIS;83;255502361;FORAGE N°1 A BUGNY PRE;01353X0160;86;;55000;89;15/05/2013;0;;Dannevoux, Sivry sur Meuse;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;687
SIAEP DU VAL DUNOIS;83;255502361;FORAGE N°2 A BUGNY PRE;01353X0161;86;;55000;89;15/05/2013;0;;Brabant sur Meuse, Forges sur Meuse, Gercourt et Drillancourt;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;423
SIAEP DU VAL DUNOIS;84;55487;BETHINCOURT;;0;;55000;87;;29;55001153;;;;;;;;;;;;;;;;;;;;99;0;;4;0;0;;100;7.4;0;7.4;25.9;25.9;25.9;26.9;26.9;26.9;0.2;0;0.1;12;12;12;0;0;;;
SIAEP DU VAL DUNOIS;84;255502361;LINY DEVANT DUN;;0;;55000;87;;190;55001227;;;;;;;;;;;;;;;;;;;;99;0;;8;0;0;;100;7.7;0;7.67;25.5;24.9;25.2;29;27.8;28.4;0;0;0;33.8;31.3;32.9;0.154;0;;;
SIAEP DU VAL DUNOIS;84;255502361;MONT DT SASSEY - SASSEY;;0;;55000;87;;228;55001229;;;;;;;;;;;;;;;;;;;;99;100;;6;0;0;;100;7.9;0;7.73;23.3;23.1;23.2;24.7;24.4;24.5;0.4;0.3;0.37;1.8;1.3;1.567;0;0;;;
SIAEP DU VAL DUNOIS;84;255502361;RESEAU BRANCHE NORD;;0;;55000;87;;591;55002044;;;;;;;;;;;;;;;;;;;;99;0;;8;0;0;;100;7.5;0;7.37;27.5;26.65;27.017;30.5;29.8;30.133;0.2;0;0.07;13.5;12.7;13.133;0.045;0;;;
SIAEP DU VAL DUNOIS;84;255502361;RESEAU BRANCHE SUD;;0;;55000;87;;391;55002046;;;;;;;;;;;;;;;;;;;;99;0;;7;0;0;;100;7.5;0;7.45;27.6;26.7;27.133;30.8;29.4;30.333;0.1;0;0.03;12.3;11.9;12.133;0.039;0;;;
SIAEP DU VAL DUNOIS;84;255502361;RESEAU FORAGE BEZINVILLERS;;0;;55000;87;;485;55001230;;;;;;;;;;;;;;;;;;;;99;0;;10;0;0;;100;7.7;0;7.5;25;24.4;24.7;27.8;27.6;27.7;0.1;0;0.01;25.5;24.9;25.2;0.075;0;;;
SIAEP DU VAL DUNOIS;84;255502361;VILLERS DEVANT DUN;;0;;55000;87;;60;55000173;Achat d'eau à SE de Tailly;;;;;;;;;;;;;;;;;;;99;100;par coagulation-filtration, charbon actif;12;0;0;;100;7.5;0;7.46;24.1;21.4;23.029;27.2;25;26.486;0.4;0.1;0.26;27.9;14.2;22.729;0.051;0;;;
SIAEP GINCREY-MAUCOURT;83;255501371;LA ROCHE;01361X0002;85;;55000;89;04/06/1985;0;;Faomeix-Ornel, Gincrey, Maucourt sur Orne, Mogeville, Morgemoulin, Ornes;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;557
SIAEP GINCREY-MAUCOURT;84;255501371;SIAEP GINCREY-MAUCOURT;;0;;55000;87;;502;55000071;;87980;143;0;30.76;0.5;5.5;0;0.052;0.395;0;280;1550;64977;76;1.9;5.95;1.66;2.22;99;0;;16;0;0;;94.11764706;7.8;0;7.7;18.5;17;17.75;19.8;18.1;18.95;0.2;0;0.13;2.9;2.1;2.4;0;0;;;
SIAEP HAN-BISLEE-KOEUR LA PETITE;83;55000;FORAGE DE KOEUR LA PETITE;01926X0059;86;;55000;89;22/07/1999;0;;Koeur la petite, Bislee, Han sur Meuse;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;689
SIAEP HAN-BISLEE-KOEUR LA PETITE;84;55000;SIAEP HAN-BISLEE-KOEUR PETITE;;0;;55000;87;;629;55001060;;;;;;;;;;;;;;;;;;;;99;0;;10;0;0;;100;7.4;0;7.32;26.4;25;25.7;27.9;27.5;27.7;0;0;0;14.3;12;12.9;0.023;0;;;
SIAEP HENRI LAFFON DE LADEBAT (55);83;55487;LE FAYEN;01927X0043;86;FREMEREVILLE-SOUS-LES-COTES;55196;87;;0;;FREMEREVILLE SOUS LES COTES;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP HENRI LAFFON DE LADEBAT (55);83;55487;LE BOIS;01622X0108;85;EPARGES (LES);55171;87;;0;;LES EPARGES;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP HENRI LAFFON DE LADEBAT (55);83;255500811;SOURCE DU BASSIN;01625X0029;85;;55000;87;;0;;BOUQUEMONT;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;0;1;
SIAEP HENRI LAFFON DE LADEBAT (55);83;255500811;VIVI;01627X0033;85;Dompierre;55159;89;13/08/1981;0;;Avillers Ste Croix, Bouconville sur Madt, Broussey-Raulecourt, Buxières sous les Côtes (Buxières, Buxerulles, Woinville), Deuxnouds aux Bois (commune de Lamorville), Dompierre aux Bois, Géville (Jouy sosus les cotes, Gironville, Corniéville), Girauvoisin, Heudicourt sous les côtes, Loupmont, Montsec, Nonsard-Lamarche, Thillot sous les Côtes, Varnéville, Vigneulles les Hattonchatel (Billy sous les Côtes, Cree, Hattonchatel, Hattonville, Viéville sous les Côtes et Vigneulles les Hattonchatel);;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP HENRI LAFFON DE LADEBAT (55);83;255500811;L'EGAIOIR;01627X0045;85;Deuxnouds;55150;89;08/11/1993;0;;Avillers Ste Croix, Bouconville sur Madt, Broussey-Raulecourt, Buxières sous les Côtes (Buxières, Buxerulles, Woinville), Deuxnouds aux Bois (commune de Lamorville), Dompierre aux Bois, Géville (Jouy sosus les cotes, Gironville, Corniéville), Girauvoisin, Heudicourt sous les côtes, Loupmont, Montsec, Nonsard-Lamarche, Thillot sous les Côtes, Varnéville, Vigneulles les Hattonchatel (Billy sous les Côtes, Cree, Hattonchatel, Hattonville, Viéville sous les Côtes et Vigneulles les Hattonchatel);;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP HENRI LAFFON DE LADEBAT (55);83;255500811;HAUT DU VILLAGE;01627X0135;85;Deuxnouds;55150;89;08/11/1993;0;;Avillers Ste Croix, Bouconville sur Madt, Broussey-Raulecourt, Buxières sous les Côtes (Buxières, Buxerulles, Woinville), Deuxnouds aux Bois (commune de Lamorville), Dompierre aux Bois, Géville (Jouy sosus les cotes, Gironville, Corniéville), Girauvoisin, Heudicourt sous les côtes, Loupmont, Montsec, Nonsard-Lamarche, Thillot sous les Côtes, Varnéville, Vigneulles les Hattonchatel (Billy sous les Côtes, Cree, Hattonchatel, Hattonville, Viéville sous les Côtes et Vigneulles les Hattonchatel);;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;4306
SIAEP HENRI LAFFON DE LADEBAT (55);83;255500811;FORAGE N°1 TROYON;01625X0090;86;;55000;89;14/12/2012;0;;Boinville en W, Bonzée en W.(Montvillers, Mesnil et Bonzée), Bouquemont, Braquis, Buzy-Darmont, Doncourt aux Templiers, Fresnes-en W., Gussainville, Harville, Hennemont, Jonville en W., Maizeray, Manheulles, Marchéville, Moulotte, Pareid, Parfondrupt, Pintheville, Riaville, Ronvaux , St Hilaire en W. (Butgnéville, St Hilaire et WAdonville), St Jean les Buzy, Troyon, Ville en W., Warq, Woël;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;4782
SIAEP HENRI LAFFON DE LADEBAT (55);83;255500811;FORAGE N°2 TROYON;01625X0091;86;;55000;89;14/12/2012;0;;Boinville en W, Bonzée en W.(Montvillers, Mesnil et Bonzée), Bouquemont, Braquis, Buzy-Darmont, Doncourt aux Templiers, Fresnes-en W., Gussainville, Harville, Hennemont, Jonville en W., Maizeray, Manheulles, Marchéville, Moulotte, Pareid, Parfondrupt, Pintheville, Riaville, Ronvaux , St Hilaire en W. (Butgnéville, St Hilaire et WAdonville), St Jean les Buzy, Troyon, Ville en W., Warq, Woël;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP HENRI LAFFON DE LADEBAT (55);83;255500811;FOND DE LA VAU DE MECRIN;01927X0011;85;;55000;89;27/03/2008;0;;Liouville, St Julien sous les cotes;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;213
SIAEP HENRI LAFFON DE LADEBAT (55);83;55487;JONVAUX HAUTE CAPTAGE AVAL;01622X0051;85;EPARGES (LES);55171;88;;0;;TRESAUVAUX;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP HENRI LAFFON DE LADEBAT (55);83;55487;JONVAUX HAUTE CAPTAGE AMONT;01622X0052;85;EPARGES (LES);55171;88;;0;;TRESAUVAUX;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP HENRI LAFFON DE LADEBAT (55);83;55487;JONVAUX BASSE N°1;01623X0061;85;EPARGES (LES);55171;88;;0;;TRESAUVAUX;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP HENRI LAFFON DE LADEBAT (55);83;55487;JONVAUX BASSE N°2;01623X0062;85;EPARGES (LES);55171;88;;0;;TRESAUVAUX;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP HENRI LAFFON DE LADEBAT (55);84;55487;FREMEREVILLE SOUS LES COTES;;0;;55000;87;;108;55000658;;87980;143;0;30.76;0.5;5.5;0;0.052;0.395;0;280;1550;64977;76;1.9;5.95;1.66;2.22;99;0;;9;0;0;;100;7.7;0;7.53;28.9;24.8;26.85;31.4;29.1;30.25;0.9;0.2;0.47;2.9;1.5;2.2;0;0;;;
SIAEP HENRI LAFFON DE LADEBAT (55);84;55487;LES EPARGES;;0;;55000;87;;75;55000642;;;;;;;;;;;;;;;;;;;;99;0;;8;0;0;;77.77777778;8.4;0;7.93;18.9;15.8;17.167;19.9;16.7;18.333;0.4;0.2;0.33;1;0;0.6;0;0;;;
SIAEP HENRI LAFFON DE LADEBAT (55);84;255500811;BECHAMPS (54);;0;;55000;87;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SIAEP HENRI LAFFON DE LADEBAT (55);84;255500811;BOUCQ (54);;0;;55000;87;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SIAEP HENRI LAFFON DE LADEBAT (55);84;255500811;DEUXNOUDS AUX BOIS;;0;;55000;87;;47;55003080;;;;;;;;;;;;;;;;;;;;99;100;;4;0;0;;100;7.5;0;7.45;22.9;22.8;22.85;26.3;23;24.65;0.2;0;0.1;1.9;1.9;1.9;0;0;;;
SIAEP HENRI LAFFON DE LADEBAT (55);84;255500811;DOMPIERRE AUX BOIS;;0;;55000;87;;45;55003079;;;;;;;;;;;;;;;;;;;;99;100;;6;0;0;;100;7.8;0;7.67;24.5;23;23.75;26.5;25.3;25.9;0.1;0;0.03;11.4;11.1;11.25;0;0;;;
SIAEP HENRI LAFFON DE LADEBAT (55);84;255500811;LAFFON RESEAU INTERCONNECT PIENNES;;0;;55000;87;;0;55000152;;;;;;;;;;;;;;;;;;;;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
SIAEP HENRI LAFFON DE LADEBAT (55);84;255500811;RESEAU FGES DE TROYON;;0;;55000;87;;4510;55002195;;;;;;;;;;;;;;;;;;;;99;100;;34;0;0;;100;8.3;0;7.757;24;22.2;23.033;27.2;26.5;26.833;0.3;0;0.03;10.1;4.5;6.767;0.085;0;;;
SIAEP HENRI LAFFON DE LADEBAT (55);84;255500811;SIAEP LAFFON DE LADEBAT (SELL) (55);;0;;55000;87;;3707;55000153;;;;;;;;;;;;;;;;;;;;99;100;;33;0;0;;100;7.9;0;7.678;23.7;22.2;22.88;25.2;24.3;24.78;0.3;0;0.06;7.6;2.8;5.58;0.01;0;;;
SIAEP HENRI LAFFON DE LADEBAT (55);84;255500811;SIAEP SAINT JULIEN-LIOUVILLE;;0;;55000;87;;181;55001101;;;;;;;;;;;;;;;;;;;;99;100;;7;0;0;;100;8.7;0;8;21.2;20.2;20.7;27.9;26.6;27.233;0.3;0;0.13;41.1;25.4;33.625;0.037;0;;;
SIAEP HENRI LAFFON DE LADEBAT (55);84;55487;TRESAUVAUX;;0;;55000;87;;86;55000975;;;;;;;;;;;;;;;;;;;;99;0;;5;0;0;;100;7.7;0;7.57;25.7;23.6;24.65;27;24.9;25.95;0.4;0.2;0.3;0.7;0.6;0.65;0;0;;;
SIAEP HEVILLIERS-COUVERTPUIS-VILLER;84;255500688;SIAEP HEVILLIERS;;0;;55000;87;;357;55000985;;;;;;;;;;;;;;;;;;;;99;100;;8;2;0;;62.5;7.6;0;7.57;26.5;26.2;26.35;29.7;28.3;29;0.8;0;0.3;24.1;23.2;23.65;0.033;0;;;
SIAEP HORVILLE-TOURAILLES;83;255500563;NAILLEMONT;02665X0002;85;HORVILLE-EN-ORNOIS;55247;88;;0;;Horville en Ornois (+ Tourailles sous Bois);;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP HORVILLE-TOURAILLES;83;255500563;FORAGE D'HORVILLE;02665X0031;86;HORVILLE-EN-ORNOIS;55247;88;;0;;Horville en Ornois (+ Tourailles sous Bois);;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP HORVILLE-TOURAILLES;84;255500563;SIAEP HORVILLE-TOURAILLES;;0;;55000;87;;98;55001065;;;;;;;;;;;;;;;;;;;;99;100;;6;0;0;;85.71428571;7.4;0;7.27;31.9;29.6;31.033;33.4;32.2;32.933;1.8;0.3;1.17;19;9.2;13.967;0;0;;;
SIAEP LANEUVILLE - LUZY ST MARTIN;83;255501231;FORAGE DU SOURD;00886X0010;86;;55000;89;04/12/1989;0;;CESSE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;1;1;
SIAEP LANEUVILLE - LUZY ST MARTIN;84;255501231;SIAEP LANEUVILLE-LUZY;;0;;55000;87;;537;55000078;;;;;;;;;;;;;;;;;;;;99;0;;25;0;0;;100;7.8;0;7.68;19.8;19.2;19.525;27;25.2;25.95;0.9;0.1;0.38;1.1;0.6;0.825;0.006;0;1;;
SIAEP LEMMES-OSCHES-VADELAINCOURT;83;255501611;L'EOLIENNE;01613X0019;85;VADELAINCOURT;55525;87;;0;;Lemmes, Oches, Vadelaincourt;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP LEMMES-OSCHES-VADELAINCOURT;84;255501611;LEMMES-OSCHES-VADELAINCOURT;;0;;55000;87;;347;55001067;;46650;0;0;9.76;0.05;0;0;0;0.38;0;0;0;35629;76;3.09;10;0.81;1.19;99;100;;7;0;0;;100;7.5;0;7.33;29;28.3;28.533;33.4;31.9;32.567;0.1;0;0.07;42.7;29.3;37.175;0.066;0;;;
SIAEP LES PAROCHES - CHAUVONCOURT;83;255500761;BOIS HEBIN;01921X0005;85;FRESNES-AU-MONT;55197;88;;0;;Chauvoncourt, Les Paroches;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP LES PAROCHES - CHAUVONCOURT;83;255500761;LA TAILLETTE;01921X0008;85;DOMPCEVRIN;55159;88;;0;;Chauvoncourt, Les Paroches;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP LES PAROCHES - CHAUVONCOURT;84;255500761;LES PAROCHES-CHAUVONCOURT;;0;;55000;87;;831;55001091;;;;;;;;;;;;;;;;;;;;99;100;;9;0;0;;88.88888889;7.8;0;7.61;19.9;19.5;19.7;21.3;20;20.65;0.4;0.1;0.26;2.3;2;2.15;0;0;;;
SIAEP LES PAROCHES - CHAUVONCOURT;84;255500761;MENONVILLE;;0;;55000;87;;48;55001584;;;;;;;;;;;;;;;;;;;;99;100;;5;0;0;;100;7.5;0;7.5;25.3;23.3;24.3;29.8;29;29.5;0;0;0;22.7;16.6;20;0.032;0;;;
SIAEP LISLE EN RIGAULT-VILLE/SAULX;83;245501150;PUITS ALLUVIAL A VILLE/SAULX;02271X0011;86;;55000;89;21/12/2007;0;;Lisles en Rigault, Ville sur Saulx;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;843
SIAEP LISLE EN RIGAULT-VILLE/SAULX;84;245501150;LISLE EN RIGAULT-VILLE/SAULX;;0;;55000;87;;838;55001070;;;;;;;;;;;;;;;;;;;;99;100;;13;0;0;;100;7.6;0;7.51;30.8;30.1;30.333;33.2;30.5;32.133;1.3;0;0.31;12.1;6.4;9.767;0.02;0;;;
SIAEP MAIZEY;83;255500753;LA TERRIERE;01626X0060;86;;55000;89;04/11/2013;0;;BANNONCOURT - ROUVROIS SUR MEUSE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;268
SIAEP MAIZEY;83;255500753;PREIGNOIR N°1;01627X0035;85;;55000;89;04/11/2013;0;;MAIZEY SPADA ROUVROIS SUR MEUSE LAMORVILLE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;420
SIAEP MAIZEY;83;255500753;PREIGNOIR N°2;01627X0124;85;;55000;89;04/11/2013;0;;LAMORVILLE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP MAIZEY;83;255500753;PREIGNOIR N°3;01627X0125;85;;55000;89;04/11/2013;0;;LAMORVILLE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP MAIZEY;84;255500753;BANNONCOURT;;0;;55000;87;;173;55001074;;;;;;;;;;;;;;;;;;;;99;100;;8;0;0;;100;7.6;0;7.47;21.7;20.9;21.233;25.4;24.8;25.067;0.1;0;0.03;33.2;28.1;30.45;0.245;0;;;
SIAEP MAIZEY;84;255500753;LAMORVILLE;;0;;55000;87;;80;55001076;;;;;;;;;;;;;;;;;;;;99;100;;5;0;0;;100;7.8;0;7.73;19.5;18.9;19.2;22.2;20.7;21.45;0.2;0.2;0.2;13.5;12.9;13.2;0.048;0;;;
SIAEP MAIZEY;84;255500753;LAMORVILLE (AMONT SURPRESSEUR);;0;;55000;87;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SIAEP MAIZEY;84;255500753;MAIZEY-SPADA;;0;;55000;87;;273;55001075;;;;;;;;;;;;;;;;;;;;99;0;;6;0;0;;100;7.7;0;7.7;18.7;17.7;18.2;21.3;18.5;19.9;0.2;0.1;0.17;6.8;4.4;5.6;0;0;;;
SIAEP MAIZEY;84;255500753;ROUVROIS SUR MEUSE;;0;;55000;87;;184;55001079;;;;;;;;;;;;;;;;;;;;99;100;;17;0;0;;100;7.6;0;7.6;21.7;17.7;19.75;25.4;18.5;22.55;0.2;0;0.07;14.3;11;12.767;0.04;0;;;
SIAEP MARVILLE-SAINT JEAN-VILLERS;83;245501200;CHUT DU MOULIN;01121X0011;85;MARVILLE;55324;89;29/05/2017;0;;Marville;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;572
SIAEP MARVILLE-SAINT JEAN-VILLERS;83;245501200;LE PAQUIS;01121X0033;85;MARVILLE;55324;89;29/07/2017;0;;Marville;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP MARVILLE-SAINT JEAN-VILLERS;84;245501200;MARVILLE;;0;;55000;87;;561;55000187;;47000;58000;0;19;0.7;0;0;0.06;0.395;0;500;13000;48209;59;6.24;8.9;2.33;2.79;99;0;;11;0;0;;100;7.9;0;7.644;20.8;20.2;20.5;24.9;23.6;24.25;0.2;0;0.11;34.1;27.9;31;0.218;0;;;
SIAEP MARVILLE-SAINT JEAN-VILLERS;84;245501200;ST JEAN LES LONGUYON-VILLERS;;0;;55000;87;;0;;;47000;58000;0;19;0.7;0;0;0.06;0.395;0;500;13000;48209;59;6.24;8.9;2.33;2.79;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SIAEP MOULINS ST HUBERT-AUTREVILLE;83;255501199;FOND DES VIGNES;00886X0033;85;Moulins-Saint-Hubert;55362;88;;0;;Moulins St Hubert, Autreville Saint Lambert;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP MOULINS ST HUBERT-AUTREVILLE;83;255501199;LES FONTAINES;00886X0034;85;Moulins-Saint-Hubert;55362;88;;0;;Moulins St Hubert, Autreville Saint Lambert;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP MOULINS ST HUBERT-AUTREVILLE;84;255501199;MOULINS ST HUBERT-AUTREVILLE;;0;;55000;87;;223;55001088;;;;;;;;;;;;;;;;;;;;99;0;;6;0;0;;85.71428571;7.5;0;7.47;23.9;23.1;23.5;28.1;27.6;27.85;1;0.2;0.57;26.3;25.4;25.85;0;0;;;
SIAEP PAYS DE MONTFAUCON D'ARGONNE;83;255502379;LES AVIS;01115X0110;86;BANTHEVILLE;55028;88;;0;;Cuisy, Epinonville, Romagne sous montfaucon, Cierges sous Montfaucon, Gesnes en Argonne;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP PAYS DE MONTFAUCON D'ARGONNE;83;255502379;AU PUSIEUX N°1;01352X0203;86;CUISY;55137;88;;0;;Cunel, Montfaucon en Arg., Nantillois, septsarges;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP PAYS DE MONTFAUCON D'ARGONNE;83;255502379;AU PUSIEUX N°2;01352X0238;86;CUISY;55137;88;;0;;Cunel, Montfaucon en Arg., Nantillois, septsarges;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP PAYS DE MONTFAUCON D'ARGONNE;84;255502379;RESEAU FORAGE DES AVIS;;0;;55000;87;;388;55001082;;217796;0;0;49.05;0;5.5;0;0;0.38;0;0;0;98095;45;6.69;5.48;1.56;2.05;99;100;;14;0;0;;100;7.5;0;7.35;26.4;26.33;26.377;31;30.5;30.733;0.1;0;0.03;34.8;32.9;33.75;0.193;0;;;
