Commune avec assainissement collectif;Nom station de traitement;Code Sandre;Taille en EqH;CODGEO
Rouvrois-sur-Othain;ROUVROIS SUR OTHAIN;;200;55445
Saint-Amand-sur-Ornain;SAINT AMAND SUR ORNAIN;35545201000;80;55452
Saint-Germain-sur-Meuse;SAINT GERMAIN SUR MEUSE;25545602385;300;55456
Saint-Julien-sous-les-Cètes;SAINT JULIEN SOUS LES COTES;25546001438;150;55460
Saint-Maurice-sous-les-Cètes;SAINT MAURICE SOUS LES COTES;;370;55462
Saint-Mihiel;SAINT-MIHIEL;25511100096;9000;55463
Sampigny;SAMPIGNY;;600;55467
Saudrupt;SAUDRUPT;35547001000;250;55470
Saulx-lès-Champlon;SAULX LES CHAMPLONS;25547300817;100;55473
Septsarges;SEPTSARGES;;75;55484
Sivry-la-Perche;SIVRY LA PERCHE;;300;55489
Sommelonne;SOMMELONNE;35549401000;350;55494
Sorcy-Saint-Martin;SORCY SAINT MARTIN;25549601975;1400;55496
Spincourt;SPINCOURT;25550000109;230;55500
Stenay;STENAY;25550200110;7500;55502
Mouzay;STENAY;25550200110;7500;55364
Thonne-la-Long;THONNE-LA-LONG;2550802421;250;55508
Trèveray;TREVERAY;35551601000;1000;55516
Saint-Joire;TREVERAY;35551601000;1000;55459
Velaines;TRONVILLE-EN-BARROIS;35551901000;15000;55543
Tronville-en-Barrois;TRONVILLE-EN-BARROIS;35551901000;15000;55519
Silmont;TRONVILLE-EN-BARROIS;35551901000;15000;55488
Nanèois-sur-Ornain;TRONVILLE-EN-BARROIS;35551901000;15000;55372
Ligny-en-Barrois;TRONVILLE-EN-BARROIS;35551901000;15000;55291
Guerpont;TRONVILLE-EN-BARROIS;35551901000;15000;55221
Givrauval;TRONVILLE-EN-BARROIS;35551901000;15000;55214
Troussey;TROUSSEY;;500;55520
Troyon;TROYON;25552102262;200;55521
Val-d'Ornain;VAL D'ORNAIN;35536601000;1100;55366
Varennes-en-Argonne;VARENNES-EN-ARGONNE;35552701000;800;55527
Vaucouleurs;VAUCOULEURS;25553302175;3000;55533
Chalaines;VAUCOULEURS;25553302175;3000;55097
Vavincourt;VAVINCOURT;35554101000;550;55541
Verdun;VERDUN;25504300095;52500;55545
Thierville-sur-Meuse;VERDUN;25504300095;52500;55505
Haudainville;VERDUN;25504300095;52500;55236
Dugny-sur-Meuse;VERDUN;25504300095;52500;55166
Charny-sur-Meuse;VERDUN;25504300095;52500;55102
Bras-sur-Meuse;VERDUN;25504300095;52500;55073
Belrupt-en-Verdunois;VERDUN;25504300095;52500;55045
Belleray;VERDUN;25504300095;52500;55042
Belleville-sur-Meuse;VERDUN;25504300095;52500;55043
Verneuil-Petit;VERNEUIL-PETIT;25554702473;200;55547
Vièville-sous-les-Cètes;VIEVILLE-SOUS-LES-COTES;25555102443;225;55550
Vigneulles-lès-HattonchÂtel;VIGNEULLES-LES-HATTONCHATEL;2555101629;800;55551
Void-Vacon;VOID VACON;25557302065;1800;55573
