CodeINSEE;PopulationDGF2014;PopulationDGF2015;In‚ligibilit‚2016;PopulationDGF2016;CommunesUrbaines;PF2015;PF2016;Eligibilit‚(PF<1005?);In‚ligibilit‚2017;;;;;;;;;
55168;48;50;;51;;504;510;VRAI;;;;;;;;;;
55169;520;506;;511;;394;393;VRAI;;;;;;;;;;
55170;169;164;;151;;393;423;VRAI;;;;;;;;;;
55171;265;271;;264;;423;455;VRAI;;;;;;;;;;
55172;74;76;;75;;290;288;VRAI;;;;;;;;;;
55173;40;39;;42;;597;585;VRAI;;;;;;;;;;
55174;82;77;;78;;712;709;VRAI;;;;;;;;;;
55175;179;173;x;172;;1092;1099;FAUX;x;;;;;;;;;
55177;72;70;x;66;;1515;1667;FAUX;x;;;;;;;;;
55178;204;205;x;203;;1125;1120;FAUX;x;;;;;;;;;
55179;179;178;;176;;490;507;VRAI;;;;;;;;;;
55180;141;146;;145;;378;400;VRAI;;;;;;;;;;
55181;3925;3857;;3784;;598;614;VRAI;;;;;;;;;;
55182;214;212;;210;;441;456;VRAI;;;;;;;;;;
55183;45;45;;43;;564;578;VRAI;;;;;;;;;;
55184;1774;1784;;1761;;413;464;VRAI;;;;;;;;;;
55185;91;99;;105;;589;576;VRAI;;;;;;;;;;
55186;2356;2341;x;2279;OUI;783;824;VRAI;x;;;;;;;;;
55188;51;50;;52;;538;507;VRAI;;;;;;;;;;
55189;0;0;;0;;0;0;VRAI;;;;;;;;;;
55191;207;218;;224;;529;525;VRAI;;;;;;;;;;
55192;68;67;;69;;563;556;VRAI;;;;;;;;;;
55193;130;128;;129;;480;479;VRAI;;;;;;;;;;
55194;61;59;;60;;648;685;VRAI;;;;;;;;;;
55195;156;160;;160;;128;150;VRAI;;;;;;;;;;
55196;130;138;;148;;396;378;VRAI;;;;;;;;;;
55197;169;169;;173;;438;434;VRAI;;;;;;;;;;
55198;745;740;;740;;515;538;VRAI;;;;;;;;;;
55199;113;109;;113;;495;472;VRAI;;;;;;;;;;
55200;240;234;;233;;666;996;VRAI;;;;;;;;;;
55201;54;55;;57;;588;573;VRAI;;;;;;;;;;
55202;211;215;;212;;373;388;VRAI;;;;;;;;;;
55204;285;279;;275;;571;590;VRAI;;;;;;;;;;
55206;158;163;;163;;397;396;VRAI;;;;;;;;;;
55207;66;66;x;65;;2044;2056;FAUX;x;;;;;;;;;
55208;53;57;;58;;622;593;VRAI;;;;;;;;;;
55258;665;672;;676;;381;376;VRAI;;;;;;;;;;
55210;38;38;;39;;710;709;VRAI;;;;;;;;;;
55211;64;64;;65;;612;611;VRAI;;;;;;;;;;
55212;77;75;;74;;447;453;VRAI;;;;;;;;;;
55214;354;352;;348;;560;719;VRAI;;;;;;;;;;
55215;1234;1229;;1221;;555;566;VRAI;;;;;;;;;;
55216;50;52;;51;;596;682;VRAI;;;;;;;;;;
55217;132;130;;132;;378;395;VRAI;;;;;;;;;;
55218;25;30;;34;;990;887;VRAI;;;;;;;;;;
55219;110;107;;107;;421;438;VRAI;;;;;;;;;;
55220;108;108;;110;;350;402;VRAI;;;;;;;;;;
55221;265;267;;266;;544;647;VRAI;;;;;;;;;;
55222;37;41;;38;;960;1069;FAUX;T;;;;;;;;;
55224;645;648;;645;;868;854;VRAI;;;;;;;;;;
55225;168;171;;174;;459;471;VRAI;;;;;;;;;;
55226;121;128;;138;;352;319;VRAI;;;;;;;;;;
55228;666;665;;658;;363;375;VRAI;;;;;;;;;;
55229;291;293;x;297;;1476;1511;FAUX;x;;;;;;;;;
