"CodeINSEE";"PopulationDGF2013";"PopulationDGF2014";"In‚ligibilit‚2015";"PopulationDGF2015";"CommunesUrbaines";PF2014;PF2015;"Eligibilit‚(PF<993?)";"In‚ligibilit‚2016";;;;;;;;;
55470;210;206;;205;;578;569;VRAI;;;;;;;;;;
55471;134;130;;129;;542;535;VRAI;;;;;;;;;;
55472;136;136;;135;;868;898;VRAI;;;;;;;;;;
55473;148;145;;136;;451;479;VRAI;;;;;;;;;;
55474;308;310;;301;;372;384;VRAI;;;;;;;;;;
55475;66;67;;69;;439;435;VRAI;;;;;;;;;;
55476;495;503;X;503;;1580;1596;FAUX;x;;;;;;;;;
55477;480;478;;469;;432;431;VRAI;;;;;;;;;;
55479;204;205;;201;;436;441;VRAI;;;;;;;;;;
55481;321;318;;318;;491;483;VRAI;;;;;;;;;;
55482;103;100;;95;;446;469;VRAI;;;;;;;;;;
55484;57;54;X;55;;1921;1893;FAUX;x;;;;;;;;;
55485;93;94;;91;;411;420;VRAI;;;;;;;;;;
55487;103;101;;100;;479;505;VRAI;;;;;;;;;;
55488;188;187;;186;;576;571;VRAI;;;;;;;;;;
55489;275;274;;277;;417;427;VRAI;;;;;;;;;;
55490;421;426;;431;;545;543;VRAI;;;;;;;;;;
55492;962;969;;975;;553;548;VRAI;;;;;;;;;;
55493;206;207;;208;;578;576;VRAI;;;;;;;;;;
55494;513;505;;501;;570;577;VRAI;;;;;;;;;;
55495;254;267;;280;;365;342;VRAI;;;;;;;;;;
55496;1031;1049;;1083;;980;990;VRAI;;;;;;;;;;
55497;336;340;X;349;;1120;995;FAUX;x;;;;;;;;;
55498;371;379;;377;;765;783;VRAI;;;;;;;;;;
55500;873;876;;869;;482;492;VRAI;;;;;;;;;;
55501;420;423;;444;;477;446;VRAI;;;;;;;;;;
55502;2951;2927;;2902;;955;955;VRAI;;;;;;;;;;
55503;172;174;;171;;353;361;VRAI;;;;;;;;;;
55504;415;411;;404;;437;633;VRAI;;;;;;;;;;
55505;3162;3133;X;3129;OUI;731;787;VRAI;x;;;;;;;;;
55506;40;41;;40;;652;660;VRAI;;;;;;;;;;
55507;277;268;;263;;292;299;VRAI;;;;;;;;;;
55508;277;281;;289;;391;390;VRAI;;;;;;;;;;
55509;297;298;;304;;357;348;VRAI;;;;;;;;;;
55510;148;155;;158;;415;407;VRAI;;;;;;;;;;
55511;162;163;;163;;426;409;VRAI;;;;;;;;;;
55512;291;295;;298;;300;293;VRAI;;;;;;;;;;
55514;667;653;;644;;607;603;VRAI;;;;;;;;;;
55515;88;81;;75;;374;407;VRAI;;;;;;;;;;
55516;670;645;;639;;582;588;VRAI;;;;;;;;;;
55517;540;540;;540;;544;532;VRAI;;;;;;;;;;
55518;154;152;;151;;688;726;VRAI;;;;;;;;;;
55519;1613;1601;X;1586;;1019;1019;FAUX;x;;;;;;;;;
