CodeINSEE;PopulationDGF2013;PopulationDGF2014;In‚ligibilit‚2015;PopulationDGF2015;CommunesUrbaines;PF2014;PF2015;Eligibilit‚(PF<993?);In‚ligibilit‚2016;EPCI-FP;Eau Potable;"Assainissement Collectif";"Assainissement Non Collectif";Milieux Aquatiques;"S (km2)";"Zone Rouge";Décompte
55281;76;83;;88;;415;386;VRAI;;Fresnes en Woevre;SIE du SOIRON (54);;CC Fresnes en Woevre;CC Fresnes en Woevre;6.7;;1
55282;101;104;;104;;911;920;VRAI;;CC Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;SM3A;12.6;;1
55284;81;80;;81;;411;410;VRAI;;Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Saulx et Perthois;4.7;;1
55285;179;176;;169;;603;585;VRAI;;Triaucourt-Vaubécourt;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;10.0;;1
55286;234;237;;234;;345;354;VRAI;;Meuse - Voie Sacrée;SIE Lemmes-Osches-Vadelaincourt;;SM Germain Guérard;SM3A;11.1;;1
55288;1540;1525;;1516;;456;466;VRAI;;Commercy;;;CC Pays de Commercy;CC Pays de Commercy;14.4;;1
55289;53;58;;64;;884;820;VRAI;;CC Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;SM3A;7.8;;1
55290;51;52;;57;;758;711;VRAI;;CC Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;SM3A;9.3;;1
55291;4486;4382;;4349;;974;969;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;32.3;;1
55292;215;215;;216;;787;777;VRAI;;Val Dunois;SIE VAL DUNOIS;CC Val Dunois;CC Val Dunois;CC Val Dunois;10.9;;1
55293;192;189;;189;;562;559;VRAI;;Val Dunois;SIE Côte-Saint-Germain;CC Val Dunois;CC Val Dunois;CC Val Dunois;15.5;;1
55295;34;37;X;42;;1637;1445;FAUX;x;Triaucourt-Vaubécourt;COPARY;COPARY;SM Germain Guérard;;28.9;;1
55296;551;545;;542;;464;422;VRAI;;Saulx et Perthois;SM Lisle en Rigault;SM Lisle en Rigault;;CC Saulx et Perthois;10.5;;1
55297;156;147;;140;;446;481;VRAI;;Damvillers;;SM Mangiennes;SM Mangiennes;CC Région de Damvillers;10.0;;1
55298;;317;;320;;409;585;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;24.5;;1
55299;111;114;;120;;432;423;VRAI;;Spincourt;SM Mangiennes;;SM Mangiennes;;14.2;;1
55300;245;243;;239;;522;524;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;7.5;;1
55301;154;149;;145;;544;557;VRAI;;CC Aire et Meuse;SIE Vallée de l''Aire;CC Aire et Meuse;CC Aire et Meuse;SM3A;15.7;;1
55302;1244;1226;;1211;;778;784;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;15.4;;1
55303;100;96;;93;;566;582;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;10.3;;1
55304;175;177;;172;;544;557;VRAI;;Triaucourt-Vaubécourt;COPARY;COPARY;SM Germain Guérard;SM3A;18.8;;1
55306;145;145;;150;;420;400;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;Syndicat Intercommunal d''Aménagement de la Chiers;14.4;;1
55307;0;0;;0;;0;0;VRAI;;CA Verdun;Zone rouge;CA Verdun;CA Verdun;CA Verdun;8.3;ZR;1
55310;117;120;;125;;487;466;VRAI;;Pays de Stenay;SIE Laneuville/Luzy;;CC Pays de Stenay;CC Pays de Stenay;7.4;;1
55311;36;36;;35;;592;584;VRAI;;Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;3.9;;1
55312;196;190;X;185;;1065;1235;FAUX;x;Saint-Mihiel;SIE Maizey;;CC Sammiellois;CC Sammiellois;14.9;;1
55313;95;97;;92;;457;475;VRAI;;Montfaucon-Varennes;;;CC Montfaucon-Varennes;CC Montfaucon-Varennes;16.5;;1
55315;138;139;;142;;196;171;VRAI;;Haute-Saulx;SIE d''Echenay (52);;;CC Haute-Saulx;17.7;;1
55316;423;413;;414;;431;436;VRAI;;Spincourt;SM Mangiennes;SM Mangiennes;SM Mangiennes;;18.2;;1
55317;163;163;;158;;657;688;VRAI;;Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;10.5;;1
55320;79;86;;85;;359;357;VRAI;;Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;5.6;;1
55321;179;173;;172;;563;561;VRAI;;CA Verdun;SIE La Forestière;CA Verdun;CA Verdun;CA Verdun;10.2;;1
55322;59;61;X;62;;1086;1067;FAUX;x;Void;SIVOM Source Godion;;SIVOM Source Godion;CC Void;5.9;;1
55323;68;70;;69;;523;554;VRAI;;Pays de Stenay;;;CC Pays de Stenay;CC Pays de Stenay;6.0;;1
55324;603;617;;601;;659;650;VRAI;;Pays de Montmedy;SIE Marville-Saint-Jean-les-Villers;SIE Marville-Saint-Jean-les-Villers;SIE Marville-Saint-Jean-les-Villers;Syndicat Intercommunal d''Aménagement de la Chiers;19.6;;1
55325;63;65;;64;;540;547;VRAI;;Etain;SIE Gincrey-Maucourt;;CC Pays d''Etain;CC Etain;6.4;;1
55326;101;102;;101;;588;583;VRAI;;Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Saulx et Perthois;4.2;;1
55327;299;307;;314;;428;421;VRAI;;Val d''Ornois;;;CC Val d''Ornois;CC Val d''Ornois;21.1;;1
55328;332;335;;339;;404;393;VRAI;;Val des Couleurs;;;;CC Val des Couleurs;10.9;;1
55329;251;249;;247;;354;355;VRAI;;Commercy;;;CC Pays de Commercy;CC Pays de Commercy;10.2;;1
55330;110;108;X;109;;1479;1466;FAUX;x;Void;SIVOM Source Godion;;SIVOM Source Godion;CC Void;11.5;;1
55331;79;84;X;91;;1159;1089;FAUX;x;Void;SIVOM Source Godion;;SIVOM Source Godion;CC Void;8.4;;1
55332;229;239;;243;;641;627;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;6.3;;1
55333;47;50;;51;;825;736;VRAI;;Saint-Mihiel;;;CC Sammiellois;CC Sammiellois;6.7;;1
55334;174;178;X;186;;1015;1070;FAUX;x;Void;SIVOM Source Godion;;SIVOM Source Godion;CC Void;16.6;;1
55335;286;280;;278;;99;93;VRAI;;Haute-Saulx;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Haute-Saulx;12.0;;1
55336;183;185;;186;;398;380;VRAI;;Damvillers;SM Mangiennes;SM Mangiennes;SM Mangiennes;CC Région de Damvillers;11.5;;1
55338;188;187;;185;;533;545;VRAI;;Val Dunois;SIE Côte-Saint-Germain;CC Val Dunois;CC Val Dunois;CC Val Dunois;10.4;;1
55339;78;77;;79;;582;554;VRAI;;Etain;SIE Gincrey-Maucourt;;CC Pays d''Etain;CC Etain;6.4;;1
55340;401;396;;392;;662;667;VRAI;;COPARY;COPARY;COPARY;COPARY;COPARY;18.6;;1
55341;146;147;;147;;452;450;VRAI;;Damvillers;SM Mangiennes;;SM Mangiennes;CC Région de Damvillers;14.6;;1
55343;88;85;;84;;490;491;VRAI;;Montfaucon-Varennes;;;CC Montfaucon-Varennes;SM3A;12.1;;1
55344;29;26;X;22;;1019;1197;FAUX;x;Val des Couleurs;SIE Taillancourt-Montbras;;SIE Taillancourt-Montbras;CC Val des Couleurs;5.4;;1
55345;175;180;;173;;505;518;VRAI;;Val Dunois;SIE VAL DUNOIS;CC Val Dunois;CC Val Dunois;CC Val Dunois;8.2;;1
55346;393;384;;371;;426;429;VRAI;;Montfaucon-Varennes;SIE Pays de Mautfaucon;;CC Montfaucon-Varennes;SM3A;23.6;;1
55347;388;394;;396;;382;382;VRAI;;Meuse - Voie Sacrée;;;SM Germain Guérard;CC Meuse - Voie Sacrée;12.2;;1
55348;478;479;;482;;344;291;VRAI;;Haute-Saulx;;;;CC Haute-Saulx;44.6;;1
55349;161;160;;162;;549;544;VRAI;;Val Dunois;;CC Val Dunois;CC Val Dunois;CC Val Dunois;9.7;;1
55350;92;93;;92;;451;436;VRAI;;Val des Couleurs;;;;CC Val des Couleurs;11.8;;1
55351;2470;2473;;2426;;472;480;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;Syndicat Intercommunal d''Aménagement de la Chiers;23.5;;1
55352;195;186;;176;;457;483;VRAI;;Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Saulx et Perthois;20.7;;1
55353;99;99;;98;;449;450;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;6.0;;1
55355;186;180;;176;;530;525;VRAI;;CA Verdun;;CA Verdun;CA Verdun;CA Verdun;17.7;;1
55356;136;136;;128;;357;378;VRAI;;Etain;SIE Herméville;;CC Pays d''Etain;CC Etain;6.8;;1
55357;107;108;;112;;389;386;VRAI;;Etain;SIE Gincrey-Maucourt;;CC Pays d''Etain;CC Etain;6.9;;1
55358;223;222;;211;;592;609;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;22.4;;1
55359;220;219;;219;;213;182;VRAI;;Haute-Saulx;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Haute-Saulx;24.8;;1
55360;133;125;;125;;371;352;VRAI;;Fresnes en Woevre;;;CC Fresnes en Woevre;CC Fresnes en Woevre;11.0;;1
55361;158;157;;136;;534;561;VRAI;;Etain;;;CC Pays d''Etain;CC Etain;11.2;;1
55362;186;186;;183;;482;489;VRAI;;Pays de Stenay;SIE Moulins-Autreville;;CC Pays de Stenay;CC Pays de Stenay;8.1;;1
55363;125;136;;126;;281;307;VRAI;;Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;5.5;;1
55364;776;774;;769;;526;532;VRAI;;Pays de Stenay;;;CC Pays de Stenay;CC Pays de Stenay;35.7;;1
55365;161;160;;160;;513;508;VRAI;;Val Dunois;;CC Val Dunois;CC Val Dunois;CC Val Dunois;14.2;;1
55366;1038;1027;;1015;;675;678;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;24.2;;1
55367;134;139;;141;;456;452;VRAI;;Spincourt;SM Mangiennes;;SM Mangiennes;;8.2;;1
55368;172;174;;172;;422;439;VRAI;;Void;SIVOM Source Godion;;SIVOM Source Godion;CC Void;15.7;;1
55369;851;843;;835;;647;638;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;15.9;;1
55370;220;216;;212;;534;532;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;6.3;;1
55371;62;67;X;74;;1048;956;VRAI;;Void;SIVOM Source Godion;;SIVOM Source Godion;CC Void;9.3;;1
55372;397;396;;396;;462;627;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;8.0;;1
