Code INSEE;Population DGF 2014;Population DGF 2015;Inéligibilité 2016;Population DGF 2016;Communes Urbaines;PF 2015;PF 2016;Eligibilité (PF<1005?);Inéligibilité 2017;EPCI-FP;Eau Potable;AssainissementCollectif;AssainissementNon Collectif;Milieux Aquatiques;S(km2);ZoneRouge;Décompte
55194;61;59;;60;;648;685;VRAI;;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SMAVAS;9.9;;1
55195;156;160;;160;;128;150;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;5.6;;1
55196;130;138;;148;;396;378;VRAI;;Côtes de Meuse Woëvre;;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;6.4;;1
55197;169;169;;173;;438;434;VRAI;;CC Triaucourt - Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;CC Triaucourt - Aire et Meuse;15.9;;1
55198;745;740;;740;;515;538;VRAI;;CC Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;9.1;;1
55199;113;109;;113;;495;472;VRAI;;Argonne Meuse;;;SM Germain Guérard;SM3A;8.7;;1
55200;240;234;;233;;666;996;VRAI;;CA Verdun;SIE Sivry-la-Perche;CA Verdun;CA Verdun;CA Verdun;20.3;;1
55201;54;55;;57;;588;573;VRAI;;CC Pays d''Etain;;;CC Pays d''Etain;CC Pays d''Etain;6;;1
55202;211;215;;212;;373;388;VRAI;;Argonne Meuse;SIE Vallée de la Biesme;;SM Germain Guérard;CC Argonne Meuse;1.7;;1
55204;285;279;;275;;571;590;VRAI;;Val de Meuse Voie Sacrée;SIE Dieue-Génicourt;SIA de la Dieue;SIA de la Dieue;Val de Meuse Voie Sacrée;8;;1
55206;158;163;;163;;397;396;VRAI;;Argonne Meuse;SIE VAL DUNOIS;;CC Argonne Meuse;CC Argonne Meuse;13.6;;1
55207;66;66;x;65;;2 044;2056;FAUX;x;CC Triaucourt - Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;CC Triaucourt - Aire et Meuse;4.8;;1
55208;53;57;;58;;622;593;VRAI;;Argonne Meuse;SIE Pays de Mautfaucon;;CC Argonne Meuse;SM3A;7.1;;1
55258;665;672;;676;;381;376;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;33.1;;1
55210;38;38;;39;;710;709;VRAI;;CC Triaucourt - Aire et Meuse;SIE Villote/Gimécourt;CC Aire et Meuse;CC Aire et Meuse;SM3A;10.1;;1
55211;64;64;;65;;612;611;VRAI;;CC Pays d''Etain;SIE Gincrey-Maucourt;;CC Pays d''Etain;CC Pays d''Etain;9.7;;1
55212;77;75;;74;;447;453;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;5.1;;1
55214;354;352;;348;;560;719;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;9.7;;1
55215;1 234;1 229;;1221;;555;566;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIE Haut-Ornain;;CC Val d''Ornois;CC Val d''Ornois Haute Saulx et Perthois;51.3;;1
55216;50;52;;51;;596;682;VRAI;;Damvillers-Spincourt;SIE PIENNES (54);SIE PIENNES (54);SIE PIENNES (54);CC Damvillers-Spincourt;5.5;;1
55217;132;130;;132;;378;395;VRAI;;Commercy - Void - Vaucouleurs;;;;Commercy - Void - Vaucouleurs;10.3;;1
55218;25;30;;34;;990;887;VRAI;;Damvillers-Spincourt;;;SM Mangiennes;CC Damvillers-Spincourt;17.8;;1
55219;110;107;;107;;421;438;VRAI;;CC Pays d''Etain;SIE Herméville;;CC Pays d''Etain;CC Pays d''Etain;5.7;;1
55220;108;108;;110;;350;402;VRAI;;Commercy - Void - Vaucouleurs;SIVOM Source Godion;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;9.3;;1
55221;265;267;;266;;544;647;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;6.1;;1
55222;37;41;;38;;960;1069;FAUX;T;CC Pays d''Etain;SIE LAFFON DE LADEBAT;;CC Pays d''Etain;CC Pays d''Etain;10.5;;1
55224;645;648;;645;;868;854;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIE Brillon-Haironville-Saudrupt;;;CC Val d''Ornois Haute Saulx et Perthois;9.8;;1
55225;168;171;;174;;459;471;VRAI;;CC Stenay - Val Dunois;SIE Beauclair;;CC Pays de Stenay;CC Stenay - Val Dunois;5.5;;1
55226;121;128;;138;;352;319;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;SIAC;5.4;;1
55228;666;665;;658;;363;375;VRAI;;CC Fresnes en Woevre;;;CC Fresnes en Woevre;CC Fresnes en Woevre;15.7;;1
55229;291;293;x;297;;1 476;1511;FAUX;x;CC Sammiellois;SIE Han/Brasseitte;;CC Sammiellois;CC Sammiellois;17.2;;1
55232;117;115;;115;;514;529;VRAI;;CC Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;5.5;;1
55236;990;974;;973;;545;621;VRAI;;CA Verdun;;CA Verdun;CA Verdun;CA Verdun;11.1;;1
55237;248;246;;237;;855;895;VRAI;;CC Fresnes en Woevre;;;CC Fresnes en Woevre;CC Fresnes en Woevre;9.3;ZR;1
55239;0;0;;0;;0;0;VRAI;;CA Verdun;Zone rouge;CA Verdun;CA Verdun;CA Verdun;10.8;;1
55123;782;789;;794;;460;464;VRAI;;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;CC Triaucourt - Aire et Meuse;50.2;;1
55241;89;90;;92;;481;481;VRAI;;Val de Meuse Voie Sacrée;SM Germain Guérard;;SM Germain Guérard;SM3A;10.5;;1
55242;130;126;;121;;927;988;VRAI;;CC Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;10.8;;1
55243;198;199;;202;;352;366;VRAI;;CC Fresnes en Woevre;;;CC Fresnes en Woevre;CC Fresnes en Woevre;6.7;;1
55244;255;250;;245;;426;444;VRAI;;CC Pays d''Etain;SIE Herméville;;CC Pays d''Etain;CC Pays d''Etain;14.6;;1
55245;237;234;;232;;894;926;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;SM Madine;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;13.6;;1
55246;134;135;;132;;152;184;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIE Hévilliers;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;10.6;;1
55247;72;77;;72;;409;451;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIE Horville-Tourailles ;;CC Val d''Ornois;CC Val d''Ornois Haute Saulx et Perthois;7.6;;1
55248;373;354;x;343;;1 082;1109;FAUX;x;CC Val d''Ornois Haute Saulx et Perthois;;;CC Val d''Ornois;CC Val d''Ornois Haute Saulx et Perthois;16.1;;1
55250;235;229;;227;;472;481;VRAI;;CC Stenay - Val Dunois;;;CC Pays de Stenay;CC Stenay - Val Dunois;6.5;;1
55251;101;103;;100;;557;621;VRAI;;CC Triaucourt - Aire et Meuse;SM Germain Guérard;;SM Germain Guérard;SM3A;10.6;;1
55252;170;161;;160;;377;386;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;SIAC;8.3;;1
55253;905;875;;849;;381;400;VRAI;;Argonne Meuse;SIE Vallée de la Biesme;;SM Germain Guérard;CC Argonne Meuse;5.6;;1
55255;276;265;;263;;429;440;VRAI;;Pays de Montmedy;SM Mangiennes;CC Pays de Montmedy;CC Pays de Montmedy;SIAC;17.4;;1
55256;152;153;;151;;459;486;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;10.8;;1
55257;57;58;;56;;442;467;VRAI;;Argonne Meuse;;;SM Germain Guérard;SM3A;6.3;;1
55260;80;78;;79;;420;429;VRAI;;Val de Meuse Voie Sacrée;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;8.7;;1
55261;142;140;;139;;482;493;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;6.4;;1
55262;281;284;;289;;377;366;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;SIAC;16.4;;1
55263;188;194;;192;;472;477;VRAI;;CC Sammiellois;;SIA des Koeur;CC Sammiellois;CC Sammiellois;12.3;;1
55264;322;324;;322;;383;384;VRAI;;CC Sammiellois;SIE Han/Brasseitte;SIA des Koeur;CC Sammiellois;CC Sammiellois;20.3;;1
55265;141;137;;134;;432;459;VRAI;;CC Fresnes en Woevre;SIE du SOIRON (54);;CC Fresnes en Woevre;CC Fresnes en Woevre;9.6;;1
55266;83;87;;88;;460;478;VRAI;;Argonne Meuse;;;SM Germain Guérard;CC Argonne Meuse;19.5;;1
55267;287;286;;290;;569;560;VRAI;;Côtes de Meuse Woëvre;SIE du SOIRON (54);SIE du SOIRON (54);SIE du SOIRON (54);CC Côtes de Meuse Woëvre;27.2;;1
55268;744;739;;733;;443;452;VRAI;;CC Sammiellois;;;CC Sammiellois;CC Sammiellois;21.2;;1
55269;96;99;;95;;561;600;VRAI;;CC Triaucourt - Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;CC Triaucourt - Aire et Meuse;12.7;;1
55270;30;28;;26;;651;676;VRAI;;Côtes de Meuse Woëvre;SIE Trey-Saint-Jean (54);;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;4;;1
55271;418;417;;415;;582;611;VRAI;;COPARY;COPARY;COPARY;COPARY;COPARY;18;;1
55272;474;473;;478;;695;823;VRAI;;COPARY;COPARY;COPARY;COPARY;COPARY;10.8;;1
55274;313;315;;312;;442;444;VRAI;;Côtes de Meuse Woëvre;SIE Maizey;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;34.9;;1
55275;117;119;;116;;376;409;VRAI;;CC Stenay - Val Dunois;;;CC Pays de Stenay;CC Stenay - Val Dunois;4.8;;1
55276;196;190;;195;;676;670;VRAI;;Val de Meuse Voie Sacrée;;;SM Germain Guérard;Val de Meuse Voie Sacrée;14.6;;1
55278;202;207;;206;;763;752;VRAI;;Commercy - Void - Vaucouleurs;;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;13.2;;1
55279;470;456;;460;;463;478;VRAI;;CC Stenay - Val Dunois;SIE Laneuville/Luzy;;CC Pays de Stenay;CC Stenay - Val Dunois;22.8;;1
55280;71;73;;75;;444;435;VRAI;;CC Pays d''Etain;SIE PIENNES (54);;CC Pays d''Etain;CC Pays d''Etain;4.6;;1
55281;83;88;;94;;386;374;VRAI;;CC Fresnes en Woevre;SIE du SOIRON (54);;CC Fresnes en Woevre;CC Fresnes en Woevre;6.7;;1
55282;104;104;;101;;920;959;VRAI;;CC Triaucourt - Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;SM3A;12.6;;1
55284;80;81;;79;;410;436;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;4.7;;1
55285;176;169;;165;;585;549;VRAI;;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;10;;1
55286;237;234;;240;;354;365;VRAI;;Val de Meuse Voie Sacrée;SIE Lemmes-Osches-Vadelaincourt;;SM Germain Guérard;SM3A;11.1;;1
55288;1 525;1 516;;1512;;466;511;VRAI;;Commercy - Void - Vaucouleurs;;;CC Pays de Commercy;Commercy - Void - Vaucouleurs;14.4;;1
55289;58;64;;64;;820;810;VRAI;;CC Triaucourt - Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;SM3A;7.8;;1
55290;52;57;;58;;711;722;VRAI;;CC Triaucourt - Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;SM3A;9.3;;1
55291;4 382;4 349;;4315;;969;990;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;32.3;;1
55292;215;216;;213;;777;793;VRAI;;CC Stenay - Val Dunois;SIE VAL DUNOIS;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;10.9;;1
55293;189;189;;194;;559;566;VRAI;;CC Stenay - Val Dunois;SIE Côte-Saint-Germain;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;15.5;;1
55295;37;42;x;44;;1 445;1338;FAUX;x;CC Triaucourt - Aire et Meuse;COPARY;COPARY;SM Germain Guérard;SMAVAS;28.9;;1
55296;545;542;;534;;422;420;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SM Lisle en Rigault;SM Lisle en Rigault;;CC Val d''Ornois Haute Saulx et Perthois;10.5;;1
55297;147;140;;139;;481;472;VRAI;;Damvillers-Spincourt;;SM Mangiennes;SM Mangiennes;CC Damvillers-Spincourt;10;;1
55298;317;320;;320;;585;623;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;24.5;;1
55299;114;120;;121;;423;434;VRAI;;Damvillers-Spincourt;SM Mangiennes;;SM Mangiennes;CC Damvillers-Spincourt;14.2;;1
55301;149;145;;142;;557;582;VRAI;;CC Triaucourt - Aire et Meuse;SIE Vallée de l''Aire;CC Aire et Meuse;CC Aire et Meuse;SM3A;15.7;;1
55300;243;239;;238;;524;606;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;7.5;;1
55302;1 226;1 211;;1203;;784;810;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;15.4;;1
55303;96;93;;92;;582;606;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;10.3;;1
55304;177;172;;169;;557;595;VRAI;;CC Triaucourt - Aire et Meuse;COPARY;COPARY;SM Germain Guérard;SM3A;18.8;;1
55306;145;150;;157;;400;380;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;SIAC;14.4;;1
55307;0;0;;0;;0;0;VRAI;;CA Verdun;Zone rouge;CA Verdun;CA Verdun;CA Verdun;8.3;ZR;1
55310;120;125;;126;;466;449;VRAI;;CC Stenay - Val Dunois;SIE Laneuville/Luzy;;CC Pays de Stenay;CC Stenay - Val Dunois;7.4;;1
55311;36;35;;34;;584;640;VRAI;;CC Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;3.9;;1
55312;190;185;x;183;;1 235;1705;FAUX;x;CC Sammiellois;SIE Maizey;;CC Sammiellois;CC Sammiellois;14.9;;1
55313;97;92;;83;;475;543;VRAI;;Argonne Meuse;;;CC Argonne Meuse;CC Argonne Meuse;16.5;;1
55315;139;142;;137;;171;215;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIE d''Echenay (52);;;CC Val d''Ornois Haute Saulx et Perthois;17.7;;1
55316;413;414;;412;;436;442;VRAI;;Damvillers-Spincourt;SM Mangiennes;SM Mangiennes;SM Mangiennes;CC Damvillers-Spincourt;18.2;;1
55317;163;158;;152;;688;726;VRAI;;CC Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;10.5;;1
55320;86;85;;83;;357;373;VRAI;;CC Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;5.6;;1
55321;173;172;;172;;561;868;VRAI;;CA Verdun;SIE La Forestière;CA Verdun;CA Verdun;CA Verdun;10.2;;1
55322;61;62;x;63;;1 067;1059;FAUX;x;Commercy - Void - Vaucouleurs;SIVOM Source Godion;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;5.9;;1
55323;70;69;;69;;554;552;VRAI;;CC Stenay - Val Dunois;;;CC Pays de Stenay;CC Stenay - Val Dunois;6;;1
55324;617;601;;572;;650;646;VRAI;;Pays de Montmedy;SIE Marville-Saint-Jean-les-Villers;SIE Marville-Saint-Jean-les-Villers;SIE Marville-Saint-Jean-les-Villers;SIAC;19.6;;1
55325;65;64;;66;;547;534;VRAI;;CC Pays d''Etain;SIE Gincrey-Maucourt;;CC Pays d''Etain;CC Pays d''Etain;6.4;;1
55326;102;101;;108;;583;528;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;4.2;;1
55327;307;314;;313;;421;422;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;;;CC Val d''Ornois;CC Val d''Ornois Haute Saulx et Perthois;21.1;;1
55328;335;339;;338;;393;404;VRAI;;Commercy - Void - Vaucouleurs;;;;Commercy - Void - Vaucouleurs;10.9;;1
55329;249;247;;247;;355;404;VRAI;;Commercy - Void - Vaucouleurs;;;CC Pays de Commercy;Commercy - Void - Vaucouleurs;10.2;;1
55330;108;109;x;112;;1 466;1420;FAUX;x;Commercy - Void - Vaucouleurs;SIVOM Source Godion;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;11.5;;1
55331;84;91;x;93;;1 089;1065;FAUX;x;Commercy - Void - Vaucouleurs;SIVOM Source Godion;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;8.4;;1
55332;239;243;;248;;627;753;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;6.3;;1
55333;50;51;;51;;736;927;VRAI;;CC Sammiellois;;;CC Sammiellois;CC Sammiellois;6.7;;1
55334;178;186;x;185;;1 070;1023;FAUX;x;Commercy - Void - Vaucouleurs;SIVOM Source Godion;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;16.6;;1
55335;280;278;;292;;93;75;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;12;;1
55336;185;186;;183;;380;393;VRAI;;Damvillers-Spincourt;SM Mangiennes;SM Mangiennes;SM Mangiennes;CC Damvillers-Spincourt;11.5;;1
55338;187;185;;187;;545;545;VRAI;;CC Stenay - Val Dunois;SIE Côte-Saint-Germain;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;10.4;;1
55339;77;79;;82;;554;538;VRAI;;CC Pays d''Etain;SIE Gincrey-Maucourt;;CC Pays d''Etain;CC Pays d''Etain;6.4;;1
55340;396;392;;389;;667;685;VRAI;;COPARY;COPARY;COPARY;COPARY;COPARY;18.6;;1
55341;147;147;;147;;450;442;VRAI;;Damvillers-Spincourt;SM Mangiennes;;SM Mangiennes;CC Damvillers-Spincourt;14.6;;1
55343;85;84;;83;;491;488;VRAI;;Argonne Meuse;;;CC Argonne Meuse;SM3A;12.1;;1
55344;26;22;x;20;;1 197;1256;FAUX;x;Commercy - Void - Vaucouleurs;SIE Taillancourt-Montbras;;SIE Taillancourt-Montbras;Commercy - Void - Vaucouleurs;5.4;;1
55345;180;173;;166;;518;541;VRAI;;CC Stenay - Val Dunois;SIE VAL DUNOIS;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;8.2;;1
55346;384;371;;362;;429;435;VRAI;;Argonne Meuse;SIE Pays de Mautfaucon;;CC Argonne Meuse;SM3A;23.6;;1
55347;394;396;;399;;382;389;VRAI;;Val de Meuse Voie Sacrée;;;SM Germain Guérard;Val de Meuse Voie Sacrée;12.2;;1
55348;479;482;;486;;291;319;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;;;;CC Val d''Ornois Haute Saulx et Perthois;44.6;;1
55349;160;162;;159;;544;564;VRAI;;CC Stenay - Val Dunois;;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;9.7;;1
55350;93;92;;85;;436;484;VRAI;;Commercy - Void - Vaucouleurs;;;;Commercy - Void - Vaucouleurs;11.8;;1
55351;2 473;2 426;;2357;;480;494;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;SIAC;23.5;;1
55352;186;176;;166;;483;505;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;20.7;;1
55353;99;98;;96;;450;459;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;6;;1
55355;180;176;;172;;525;843;VRAI;;CA Verdun;;CA Verdun;CA Verdun;CA Verdun;17.7;;1
55356;136;128;;124;;378;413;VRAI;;CC Pays d''Etain;SIE Herméville;;CC Pays d''Etain;CC Pays d''Etain;6.8;;1
55357;108;112;;113;;386;390;VRAI;;CC Pays d''Etain;SIE Gincrey-Maucourt;;CC Pays d''Etain;CC Pays d''Etain;6.9;;1
55359;219;219;;219;;182;187;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;24.8;;1
55360;125;125;;127;;352;356;VRAI;;CC Fresnes en Woevre;;;CC Fresnes en Woevre;CC Fresnes en Woevre;11;;1
55361;157;136;;133;;561;552;VRAI;;CC Pays d''Etain;;;CC Pays d''Etain;CC Pays d''Etain;11.2;;1
55362;186;183;;181;;489;490;VRAI;;CC Stenay - Val Dunois;SIE Moulins-Autreville;;CC Pays de Stenay;CC Stenay - Val Dunois;8.1;;1
55363;136;126;;117;;307;320;VRAI;;CC Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;5.5;;1
55364;774;769;;751;;532;566;VRAI;;CC Stenay - Val Dunois;;;CC Pays de Stenay;CC Stenay - Val Dunois;35.7;;1
55365;160;160;;161;;508;512;VRAI;;CC Stenay - Val Dunois;;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;14.2;;1
55367;139;141;;138;;452;476;VRAI;;Damvillers-Spincourt;SM Mangiennes;;SM Mangiennes;CC Damvillers-Spincourt;8.2;;1
55368;174;172;;176;;439;446;VRAI;;Commercy - Void - Vaucouleurs;SIVOM Source Godion;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;15.7;;1
55369;843;835;;825;;638;675;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;15.9;;1
55370;216;212;;209;;532;678;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;6.3;;1
55371;67;74;;78;;956;904;VRAI;;Commercy - Void - Vaucouleurs;SIVOM Source Godion;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;9.3;;1
55372;396;396;;393;;627;667;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;8;;1
55375;72;72;;70;;623;645;VRAI;;CC Stenay - Val Dunois;SIE Pays de Mautfaucon;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;7.7;;1
55373;79;81;;83;;628;629;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;11.3;;1
55374;86;86;;86;;526;509;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;9;;1
55376;91;88;;84;;723;758;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;6.1;;1
55377;78;86;;92;;541;536;VRAI;;CC Stenay - Val Dunois;;;CC Pays de Stenay;CC Stenay - Val Dunois;5.2;;1
55378;288;282;;280;;585;606;VRAI;;COPARY;COPARY;COPARY;COPARY;COPARY;11.5;;1
55379;93;93;;93;;355;361;VRAI;;Argonne Meuse;SIE Vallée de la Biesme;;SM Germain Guérard;CC Argonne Meuse;0.9;;1
55380;83;82;;82;;664;648;VRAI;;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;13.4;;1
55381;204;208;;213;;340;329;VRAI;;Commercy - Void - Vaucouleurs;SIE Sainte-Libaire;;;Commercy - Void - Vaucouleurs;8.4;;1
55382;369;371;;374;;615;625;VRAI;;COPARY;COPARY;COPARY;COPARY;COPARY;11.7;;1
55383;223;225;;231;;521;515;VRAI;;Argonne Meuse;;;SM Germain Guérard;SM3A;18.3;;1
55384;117;118;;121;;532;515;VRAI;;CC Triaucourt - Aire et Meuse;SIE Vallée de l''Aire;CC Aire et Meuse;CC Aire et Meuse;SM3A;11;;1
55385;475;486;;485;;657;666;VRAI;;Val de Meuse Voie Sacrée;SIE Sivry-la-Perche;;SM Germain Guérard;SM3A;19.5;;1
55386;199;204;;217;;867;822;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;SM Madine;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;18.2;;1
55387;251;244;;243;;435;435;VRAI;;Damvillers-Spincourt;SM Mangiennes;SM Mangiennes;SM Mangiennes;CC Damvillers-Spincourt;10.1;;1
55388;261;280;;293;;573;582;VRAI;;COPARY;COPARY;COPARY;COPARY;COPARY;17.2;;1
55389;298;294;;285;;555;583;VRAI;;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;27.5;;1
55391;213;211;;204;;465;483;VRAI;;CC Stenay - Val Dunois;;;CC Pays de Stenay;CC Stenay - Val Dunois;9.2;;1
55394;7;7;x;7;;2 601;3921;FAUX;x;CA Verdun;SIE Gincrey-Maucourt;CA Verdun;CA Verdun;CA Verdun;18.5;;1
55395;51;53;x;56;;2 517;2303;FAUX;x;Val de Meuse Voie Sacrée;SIE Lemmes-Osches-Vadelaincourt;;SM Germain Guérard;SM3A;9.1;;1
55396;217;219;;219;;383;391;VRAI;;Commercy - Void - Vaucouleurs;;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;10.4;;1
55397;277;272;;271;;373;386;VRAI;;Commercy - Void - Vaucouleurs;;;;Commercy - Void - Vaucouleurs;12.4;;1
55398;1 031;1 039;x;1063;;1 856;1658;FAUX;x;Commercy - Void - Vaucouleurs;;;;Commercy - Void - Vaucouleurs;18.8;;1
55399;128;129;;132;;359;360;VRAI;;CC Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;7;;1
55400;53;51;x;51;;1 254;1268;FAUX;x;CC Pays d''Etain;SIE LAFFON DE LADEBAT;SIA de l''Orne;CC Pays d''Etain;CC Pays d''Etain;8.5;;1
