Code INSEE;Population DGF 2014;Population DGF 2015;Inéligibilité 2016;Population DGF 2016;Communes Urbaines;PF 2015;PF 2016;Eligibilité (PF<1005?);Inéligibilité 2017;EPCI-FP;Eau Potable;AssainissementCollectif;AssainissementNon Collectif;Milieux Aquatiques;S(km2);ZoneRouge;Décompte
55048;35;36;;36;;822;1204;FAUX;T;CA Verdun;SIE VAL DUNOIS;CA Verdun;CA Verdun;CA Verdun;13.3;;1
55049;448;447;;443;;656;682;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;11.6;;1
55050;0;0;;0;;0;0;VRAI;;CA Verdun;Zone rouge;CA Verdun;CA Verdun;CA Verdun;9.2;ZR;1
55051;128;122;x;118;;1 506;1494;FAUX;x;CC Val d''Ornois Haute Saulx et Perthois;SIE Vallée de l''Orge;SIE Vallée de l''Orge;SIE Vallée de l''Orge;CC Val d''Ornois Haute Saulx et Perthois;12.4;;1
55053;408;403;;399;;406;429;VRAI;;Damvillers-Spincourt;SM Mangiennes;SM Mangiennes;SM Mangiennes;CC Damvillers-Spincourt;24.7;;1
55054;69;70;;70;;541;600;VRAI;;CC Sammiellois;SIE Han/Brasseitte;;CC Sammiellois;CC Sammiellois;5;;1
55055;21;20;;20;;935;931;VRAI;;CC Pays d''Etain;SIE Chatillon-Blanzée;;CC Pays d''Etain;CC Pays d''Etain;3.4;;1
55057;77;78;;77;;519;544;VRAI;;CC Pays d''Etain;SIE LAFFON DE LADEBAT;;CC Pays d''Etain;CC Pays d''Etain;5.7;;1
55058;319;328;;338;;429;454;VRAI;;Commercy - Void - Vaucouleurs;;;CC Pays de Commercy;Commercy - Void - Vaucouleurs;10.8;;1
55059;229;221;x;219;;1 884;1908;FAUX;x;CC Val d''Ornois Haute Saulx et Perthois;;;CC Val d''Ornois;CC Val d''Ornois Haute Saulx et Perthois;29.1;;1
55060;396;393;;387;;400;425;VRAI;;CC Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;21.1;;1
55061;257;260;;263;;95;86;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;5.4;;1
55062;111;115;;113;;461;465;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;7;;1
55063;2 792;2 759;;2711;;610;625;VRAI;;Landres;SIE PIENNES (54);SIE PIENNES (54);SIE PIENNES (54);SIE Piennes;11;;1
55064;133;138;;142;;429;424;VRAI;;CC Triaucourt - Aire et Meuse;SIE LAFFON DE LADEBAT;CC Aire et Meuse;CC Aire et Meuse;CC Triaucourt - Aire et Meuse;7.5;;1
55065;142;138;;136;;641;666;VRAI;;Argonne Meuse;;;CC Argonne Meuse;SM3A;21.3;;1
55066;149;154;;162;;779;742;VRAI;;Commercy - Void - Vaucouleurs;;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;13.4;;1
55067;119;113;;108;;393;403;VRAI;;Commercy - Void - Vaucouleurs;;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;8.1;;1
55068;109;110;;113;;468;458;VRAI;;Argonne Meuse;;;SM Germain Guérard;SM3A;11.5;;1
55069;243;237;;235;;601;625;VRAI;;COPARY;COPARY;COPARY;COPARY;COPARY;11.1;;1
55070;138;135;;131;;354;357;VRAI;;Argonne Meuse;SIE VAL DUNOIS;;CC Argonne Meuse;CC Argonne Meuse;6.9;;1
55071;218;211;;216;;395;384;VRAI;;Damvillers-Spincourt;;;SM Mangiennes;CC Damvillers-Spincourt;12.1;;1
55072;98;107;;113;;646;615;VRAI;;CC Pays d''Etain;SIE LAFFON DE LADEBAT;;CC Pays d''Etain;CC Pays d''Etain;5;;1
55073;744;767;;772;;682;975;VRAI;;CA Verdun;SIE La Forestière;CA Verdun;CA Verdun;CA Verdun;13.7;;1
55075;178;172;;172;;163;143;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;;CC Val d''Ornois Haute Saulx et Perthois;9.3;;1
55076;202;203;;205;;492;479;VRAI;;Damvillers-Spincourt;;SM Mangiennes;SM Mangiennes;CC Damvillers-Spincourt;18.3;;1
55077;286;278;;273;;362;359;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;SIAC;13;;1
55078;359;362;;367;;592;596;VRAI;;CC Stenay - Val Dunois;;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;24.1;;1
55079;619;629;;646;;467;467;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIE Brillon-Haironville-Saudrupt;;;CC Val d''Ornois Haute Saulx et Perthois;11.4;;1
55080;108;110;;107;;502;521;VRAI;;Commercy - Void - Vaucouleurs;;;;Commercy - Void - Vaucouleurs;7.6;;1
55081;64;64;;65;;649;646;VRAI;;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SMAVAS;8.3;;1
55082;54;53;;52;;573;612;VRAI;;Argonne Meuse;;;SM Germain Guérard;SM3A;10;;1
55083;175;175;;171;;506;528;VRAI;;CC Stenay - Val Dunois;;;CC Pays de Stenay;CC Stenay - Val Dunois;12.2;;1
55084;63;60;x;61;;1 348;1365;FAUX;x;Commercy - Void - Vaucouleurs;;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;11;;1
55085;277;277;;281;;408;413;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;21;;1
